Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor,CurBarBuyVol,CurBarSellVol,CurBarTotalVol,CurBarDelta,CurBarMaxSeen,CurBarMinSeen,CurBarRange,CurBarBodyPct,CurBarOpen,CurBarHigh,CurBarLow,CurBarClose,PrevBarBuyVol,PrevBarSellVol,PrevBarTotalVol,PrevBarDelta,PrevBarMaxSeen,PrevBarMinSeen,PrevBarRange,PrevBarBodyPct,PrevBar30sAggDelta,PrevBar30sTradeCount,PrevBarAbsorbRatio,IntraAbsorbRatio,CumDelta5Bars,CumDelta10Bars,HTFEmaValue,HTFEmaSlope,HTFEmaDir,H2_HourlyVolBaseline,H2_PrevBarVolMultiple,ATRValue
20260817 205956 638,4473.10,1,4470.50,4479.60,9.10,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,Mid,21,28,49,-7.00,7.00,-7.00,1.40,7.1,4473.00,4474.00,4472.60,4473.10,7,6,13,1.00,1.00,-4.00,0.60,50.0,0,0,0.0000,0.0000,0.00,3.00,4471.04,0.1462,UP,13.10,0.9924,0.6641
20260817 220000 392,4473.40,1,4473.40,4472.20,0.00,4473.40,1,4473.30,1,4473.20,1,4473.10,1,4473.00,1,4472.80,1,4472.20,1,4470.70,1,4470.50,1,4470.30,1,4472.20,1,4474.90,1,4476.40,1,4476.50,1,4478.40,1,4479.00,1,4479.30,1,4479.40,1,4479.60,3,4480.40,1,Buy,1,0,1,1.00,1.00,1.00,0.00,0.0,4473.40,4473.40,4473.40,4473.40,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-9.00,-1.00,4471.26,0.1958,UP,40.00,1.2250,0.6381
20260817 220000 534,4473.30,1,4473.30,4474.90,1.60,4473.40,1,4473.30,1,4473.20,1,4473.10,1,4473.00,1,4472.80,1,4472.20,1,4470.70,1,4470.50,1,4470.30,1,4472.20,1,4474.90,1,4476.40,1,4476.50,1,4478.40,1,4479.00,1,4479.30,1,4479.40,1,4479.60,3,4480.40,1,Sell,1,1,2,0.00,1.00,0.00,0.10,100.0,4473.40,4473.40,4473.30,4473.30,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,1.0000,-10.00,-2.00,4471.25,0.1926,UP,40.00,1.2250,0.6381
20260817 220000 534,4473.20,1,4473.30,4474.90,1.60,4473.40,1,4473.30,1,4473.20,1,4473.10,1,4473.00,1,4472.80,1,4472.20,1,4470.70,1,4470.50,1,4470.30,1,4472.20,1,4474.90,1,4476.40,1,4476.50,1,4478.40,1,4479.00,1,4479.30,1,4479.40,1,4479.60,3,4480.40,1,Sell,1,2,3,-1.00,1.00,-1.00,0.20,100.0,4473.40,4473.40,4473.20,4473.20,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-11.00,-3.00,4471.24,0.1894,UP,40.00,1.2250,0.6381
20260817 220000 675,4474.90,1,4474.30,4475.90,1.60,4474.30,1,4474.20,3,4474.10,2,4474.00,3,4473.80,2,4473.60,2,4473.50,1,4473.10,2,4473.00,2,4472.80,1,4475.90,1,4476.20,1,4476.30,3,4476.40,2,4476.50,2,4478.00,2,4478.40,2,4478.90,1,4479.00,2,4479.20,1,Buy,2,2,4,0.00,1.00,-1.00,1.70,88.2,4473.40,4474.90,4473.20,4474.90,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,1.0000,-10.00,-2.00,4471.41,0.2434,UP,40.00,1.2250,0.7452
20260817 220000 675,4475.50,1,4474.30,4475.90,1.60,4474.30,1,4474.20,3,4474.10,2,4474.00,3,4473.80,2,4473.60,2,4473.50,1,4473.10,2,4473.00,2,4472.80,1,4475.90,1,4476.20,1,4476.30,3,4476.40,2,4476.50,2,4478.00,2,4478.40,2,4478.90,1,4479.00,2,4479.20,1,Buy,3,2,5,1.00,1.00,-1.00,2.30,91.3,4473.40,4475.50,4473.20,4475.50,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-9.00,-1.00,4471.46,0.2624,UP,40.00,1.2250,0.7881
20260817 220000 675,4475.60,1,4474.30,4475.90,1.60,4474.30,1,4474.20,3,4474.10,2,4474.00,3,4473.80,2,4473.60,2,4473.50,1,4473.10,2,4473.00,2,4472.80,1,4475.90,1,4476.20,1,4476.30,3,4476.40,2,4476.50,2,4478.00,2,4478.40,2,4478.90,1,4479.00,2,4479.20,1,Buy,4,2,6,2.00,2.00,-1.00,2.40,91.7,4473.40,4475.60,4473.20,4475.60,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-8.00,0.00,4471.47,0.2656,UP,40.00,1.2250,0.7952
20260817 220000 675,4475.60,1,4474.30,4475.90,1.60,4474.30,1,4474.20,3,4474.10,2,4474.00,3,4473.80,2,4473.60,2,4473.50,1,4473.10,2,4473.00,2,4472.80,1,4475.90,1,4476.20,1,4476.30,3,4476.40,2,4476.50,2,4478.00,2,4478.40,2,4478.90,1,4479.00,2,4479.20,1,Buy,5,2,7,3.00,3.00,-1.00,2.40,91.7,4473.40,4475.60,4473.20,4475.60,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.0000,-7.00,1.00,4471.47,0.2656,UP,40.00,1.2250,0.7952
20260817 220000 685,4474.70,1,4474.80,4475.50,0.70,4474.80,1,4474.50,1,4474.40,1,4474.00,1,4473.60,1,4473.10,2,4473.00,2,4472.80,2,4472.20,2,4471.40,1,4475.50,2,4475.80,2,4476.20,2,4476.30,2,4476.40,2,4476.50,2,4478.00,2,4478.40,2,4478.90,1,4479.00,2,Sell,5,3,8,2.00,3.00,-1.00,2.40,54.2,4473.40,4475.60,4473.20,4474.70,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,0.5000,-8.00,0.00,4471.39,0.2370,UP,40.00,1.2250,0.7952
20260817 220000 784,4474.80,1,4473.80,4475.00,1.20,4473.80,1,4473.70,1,4473.60,1,4473.50,2,4473.30,2,4473.20,1,4473.10,2,4473.00,2,4472.80,2,4472.60,2,4475.00,1,4475.30,2,4475.50,2,4476.00,1,4476.10,2,4476.40,2,4476.50,2,4477.50,2,4478.00,3,4478.40,2,Sell,5,4,9,1.00,3.00,-1.00,2.40,58.3,4473.40,4475.60,4473.20,4474.80,21,28,49,-7.00,7.00,-7.00,1.40,7.1,0,0,0.0000,2.0000,-9.00,-1.00,4471.40,0.2402,UP,40.00,1.2250,0.7952
