Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor,CurBarBuyVol,CurBarSellVol,CurBarTotalVol,CurBarDelta,CurBarMaxSeen,CurBarMinSeen,CurBarRange,CurBarBodyPct,CurBarOpen,CurBarHigh,CurBarLow,CurBarClose,PrevBarBuyVol,PrevBarSellVol,PrevBarTotalVol,PrevBarDelta,PrevBarMaxSeen,PrevBarMinSeen,PrevBarRange,PrevBarBodyPct,PrevBar30sAggDelta,PrevBar30sTradeCount,PrevBarAbsorbRatio,IntraAbsorbRatio,CumDelta5Bars,CumDelta10Bars,HTFEmaValue,HTFEmaSlope,HTFEmaDir,H2_HourlyVolBaseline,H2_PrevBarVolMultiple,ATRValue
20260824 102721 133,4702.00,1,4702.00,4702.10,0.10,4702.00,1,4701.80,1,4701.60,1,4701.50,3,4701.40,3,4701.30,2,4701.20,2,4701.10,3,4701.00,2,4700.90,3,4702.10,2,4702.20,2,4702.30,3,4702.40,2,4702.50,2,4702.60,2,4702.70,2,4702.80,6,4702.90,3,4703.00,2,Sell,26,46,72,-20.00,5.00,-25.00,2.40,50.0,4700.80,4703.20,4700.80,4702.00,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.2500,-42.00,-56.00,4697.17,0.6904,UP,81.05,0.5429,1.8408
20260824 102721 133,4702.00,1,4702.00,4702.10,0.10,4702.00,1,4701.80,1,4701.60,1,4701.50,3,4701.40,3,4701.30,2,4701.20,2,4701.10,3,4701.00,2,4700.90,3,4702.10,2,4702.20,2,4702.30,3,4702.40,2,4702.50,2,4702.60,2,4702.70,2,4702.80,6,4702.90,3,4703.00,2,Sell,26,47,73,-21.00,5.00,-25.00,2.40,50.0,4700.80,4703.20,4700.80,4702.00,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.1905,-43.00,-57.00,4697.17,0.6904,UP,81.05,0.5429,1.8408
20260824 102721 255,4702.00,1,4702.00,4702.10,0.10,4702.00,1,4701.80,1,4701.60,1,4701.50,4,4701.40,1,4701.30,2,4701.20,2,4701.10,4,4701.00,2,4700.90,3,4702.10,1,4702.30,4,4702.40,3,4702.50,2,4702.60,2,4702.70,2,4702.80,5,4702.90,3,4703.00,2,4703.10,7,Sell,26,48,74,-22.00,5.00,-25.00,2.40,50.0,4700.80,4703.20,4700.80,4702.00,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.1364,-44.00,-58.00,4697.17,0.6904,UP,81.05,0.5429,1.8408
20260824 102721 276,4702.00,1,4702.00,4702.10,0.10,4702.00,1,4701.80,1,4701.60,1,4701.50,4,4701.40,1,4701.30,2,4701.20,2,4701.10,4,4701.00,2,4700.90,3,4702.10,1,4702.30,4,4702.40,3,4702.50,2,4702.60,2,4702.70,2,4702.80,5,4702.90,3,4703.00,2,4703.10,7,Sell,26,49,75,-23.00,5.00,-25.00,2.40,50.0,4700.80,4703.20,4700.80,4702.00,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.0870,-45.00,-59.00,4697.17,0.6904,UP,81.05,0.5429,1.8408
20260824 102721 379,4702.00,1,4702.00,4702.10,0.10,4702.00,1,4701.80,1,4701.70,1,4701.60,1,4701.50,4,4701.40,1,4701.30,2,4701.20,2,4701.10,3,4701.00,2,4702.10,1,4702.30,4,4702.40,3,4702.50,2,4702.60,2,4702.70,2,4702.80,6,4702.90,3,4703.00,2,4703.10,7,Sell,26,50,76,-24.00,5.00,-25.00,2.40,50.0,4700.80,4703.20,4700.80,4702.00,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.0417,-46.00,-60.00,4697.17,0.6904,UP,81.05,0.5429,1.8408
20260824 102721 502,4702.00,1,4701.60,4701.90,0.30,4701.60,1,4701.50,3,4701.40,1,4701.30,2,4701.20,2,4701.10,3,4701.00,3,4700.90,3,4700.80,3,4700.70,4,4701.90,2,4702.00,2,4702.10,3,4702.20,4,4702.30,5,4702.40,5,4702.50,4,4702.60,2,4702.70,3,4702.80,6,Sell,26,51,77,-25.00,5.00,-25.00,2.40,50.0,4700.80,4703.20,4700.80,4702.00,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.0000,-47.00,-61.00,4697.17,0.6904,UP,81.05,0.5429,1.8408
20260824 102721 502,4702.00,1,4701.60,4701.90,0.30,4701.60,1,4701.50,3,4701.40,1,4701.30,2,4701.20,2,4701.10,3,4701.00,3,4700.90,3,4700.80,3,4700.70,4,4701.90,2,4702.00,2,4702.10,3,4702.20,4,4702.30,5,4702.40,5,4702.50,4,4702.60,2,4702.70,3,4702.80,6,Sell,26,52,78,-26.00,5.00,-26.00,2.40,50.0,4700.80,4703.20,4700.80,4702.00,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.0000,-48.00,-62.00,4697.17,0.6904,UP,81.05,0.5429,1.8408
20260824 102721 503,4702.00,1,4701.60,4701.90,0.30,4701.60,1,4701.50,3,4701.40,1,4701.30,2,4701.20,2,4701.10,3,4701.00,3,4700.90,3,4700.80,3,4700.70,4,4701.90,2,4702.00,2,4702.10,3,4702.20,4,4702.30,5,4702.40,5,4702.50,4,4702.60,2,4702.70,3,4702.80,6,Sell,26,53,79,-27.00,5.00,-27.00,2.40,50.0,4700.80,4703.20,4700.80,4702.00,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.0000,-49.00,-63.00,4697.17,0.6904,UP,81.05,0.5429,1.8408
20260824 102721 507,4701.90,1,4701.60,4701.90,0.30,4701.60,1,4701.50,3,4701.40,1,4701.30,2,4701.20,2,4701.10,3,4701.00,3,4700.90,3,4700.80,3,4700.70,4,4701.90,2,4702.00,2,4702.10,3,4702.20,4,4702.30,5,4702.40,5,4702.50,4,4702.60,2,4702.70,3,4702.80,6,Buy,27,53,80,-26.00,5.00,-27.00,2.40,45.8,4700.80,4703.20,4700.80,4701.90,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.0385,-48.00,-62.00,4697.16,0.6872,UP,81.05,0.5429,1.8408
20260824 102721 848,4701.90,1,4702.00,4702.20,0.20,4702.00,3,4701.80,1,4701.70,6,4701.60,3,4701.50,5,4701.40,1,4701.30,2,4701.20,2,4701.10,3,4701.00,3,4702.20,1,4702.30,2,4702.40,2,4702.50,3,4702.60,4,4702.70,4,4702.80,5,4702.90,3,4703.00,2,4703.10,7,Buy,28,53,81,-25.00,5.00,-27.00,2.40,45.8,4700.80,4703.20,4700.80,4701.90,25,19,44,6.00,7.00,-5.00,1.60,68.7,0,30,0.1667,0.0800,-47.00,-61.00,4697.16,0.6872,UP,81.05,0.5429,1.8408
